,Unnamed: 0,subject,predicate,object
403,63,evaluation of patients for relapse risk,requires consideration of,multidisciplinary manner
404,64,patients' biological characteristics,impact,patients' prognosis
405,65,patients' psychological characteristics,impact,patients' prognosis
406,66,patients' social characteristics,impact,patients' prognosis
407,67,stable marriage,decreased,relapse
408,68,high socioeconomic status,decreased,relapse
409,69,older age,decreased,relapse
410,70,neuropsychological impairment,increased,relapse
411,71,high addiction severity,increased,relapse
412,72,comorbid psychiatric symptoms,increased,relapse
413,73,history of addiction in the family,increases risk of,relapse
414,74,starting drug use at a young age,increases risk of,relapse
415,75,impulsive personality traits,increase risk of,relapse
416,76,risk-taking personality traits,increase risk of,relapse
417,77,severity of addiction,increases risk of,relapse
418,78,co-occurring psychiatric disorders,increase risk of,relapse
419,79,taking additional medication,increases risk of,relapse
420,80,difficulties in interpersonal relationships,increase risk of,relapse
421,81,poor problem-solving skills,increase risk of,relapse
422,82,identification of remission and relapse periods,is important for,development of individualized treatments
423,83,identification of factors causing remission and relapse periods,is important for,development of individualized treatments
424,84,identification of remission and relapse periods,is important for,early medical interventions
425,85,identification of factors causing remission and relapse periods,is important for,early medical interventions
426,86,identification of remission and relapse periods,is important for,early psychological interventions
427,87,identification of factors causing remission and relapse periods,is important for,early psychological interventions
428,88,identification of remission and relapse periods,is important for,prevention of relapses
429,89,identification of factors causing remission and relapse periods,is important for,prevention of relapses
430,90,older age at onset of alcohol use disorder,is associated with,higher likelihood of remission
431,91,lower age at onset of alcohol use disorder,is associated with,higher relapse rates in adults with major depressive disorder and alcohol use disorder comorbidity
432,92,early onset of alcohol use,is associated with,higher risk of alcohol dependence
433,93,early onset of alcohol use,is associated with,higher risk of relapses
434,94,early initiation of alcohol use,is associated with,higher risk of relapse
435,95,early initiation of alcohol use,is associated with,higher risk of developing dependence at an earlier age
436,96,older age of onset,is associated with,higher remission
437,97,earlier age of onset,is associated with,higher relapse
438,98,early age of onset of substance use disorder,is associated with,polysubstance use (one study)
439,99,early age of onset of substance use disorder,is not associated with,relapses (one study)
440,100,low age at first substance use,is associated with,relapses
441,101,younger age at first substance use,is associated with,increased risk of substance use disorders
442,102,younger age at first substance use,is associated with,increased rate of relapse
443,103,gender,does not consistently predict,relapse in alcohol use disorder
444,104,female gender,is associated with,better prognosis in alcohol use disorder (some studies)
445,105,women with alcohol use disorder,are more likely to relapse following,stressful event
446,106,women with alcohol use disorder,are more likely to relapse following,drug-related cue
447,107,history of trauma,is significantly associated with,relapse in women with alcohol use disorder
448,108,current trauma-related symptoms,are significantly associated with,relapse in women with alcohol use disorder
449,109,women with substance use disorder,have,lower relapse rates (some studies)
450,110,women in buprenorphine-treated patients,showed,lower relapse rates than men (2 studies)
451,111,gender,does not show consistent differences for,cravings for psycho-stimulants
452,112,gender,does not show consistent differences for,relapses for psycho-stimulants
453,113,gender,does not show consistent differences for,cravings for opioids
454,114,gender,does not show consistent differences for,relapses for opioids
455,115,women with cocaine use disorder,are more likely to attribute relapse to,negative emotional states
456,116,women with cocaine use disorder,are more likely to attribute relapse to,interpersonal conflict
457,117,dysfunction in the nucleus accumbens,is associated with,significantly higher relapse rates
458,118,dysfunction in the executive control network,is associated with,significantly higher relapse rates
459,119,dysfunction in the insula,is associated with,significantly higher relapse rates
460,120,dysfunction in the ventral pallidum,is associated with,significantly higher relapse rates
461,121,limbic system hypermetabolism,is associated with,relapse in alcohol dependence
462,122,cerebellum hypermetabolism,is associated with,relapse in alcohol dependence
463,123,frontal hypometabolism,is associated with,relapse in alcohol dependence
464,124,weakened functional connections in corticolimbic circuits,are associated with,higher risk of relapse in substance abuse
465,125,weakened functional connections in corticostriatal circuits,are associated with,higher risk of relapse in substance abuse
466,126,brain-derived neurotrophic factor increase in the medial prefrontal cortex,may prevent,relapses in alcohol use disorder
467,127,dorsal hippocampus activity,is associated with,relapse in substance use disorder
468,128,reduced dorsal hippocampus activity,will decrease,relapses in substance use disorder
469,129,ventral pallidum GABA neurons,control,opioid relapses in opioid addiction
470,130,family history of disease,is associated with,higher risk of relapse (some studies)
471,131,genetic factors,are associated with,higher risk of relapse (some studies)
472,132,family history of disease,is not associated with,risk of relapse (many studies)
473,133,genetic factors,are not associated with,risk of relapse (many studies)
474,134,substance use in close relatives,increases risk of,substance use disorder relapse
475,135,poorer physical health,is significantly associated with,higher relapse risk
476,136,poor physical health,increases,relapses in opioid use disorder
477,137,sleep disturbance,is associated with,significantly higher relapse rates
478,138,impaired hormones,are associated with,relapse
479,139,elevated biomarkers,are associated with,relapse
480,140,increased stress-induced craving,is associated with,blunted cortisol response
481,141,blunted cortisol response,is a predictor of,shorter relapse duration in outpatients with alcohol use disorder
482,142,high neutrophil–lymphocyte ratio,is observed in,relapse group of alcohol use disorder inpatients
483,143,low plasma cortisol levels,are observed in,cocaine withdrawal
484,144,low dehydroepiandrosterone sulfate (DHEA-S) levels,are observed in,cocaine withdrawal
485,145,low plasma cortisol levels,can be used as biomarker to predict,relapse
486,146,low dehydroepiandrosterone sulfate (DHEA-S) levels,can be used as biomarker to predict,relapse
487,147,treatment with dehydroepiandrosterone,reduces,relapse
488,148,comorbid psychiatric disorders,are common in,Alcohol and substance use disorder
489,149,psychiatric comorbidity (mood disorder),is significantly associated with,increased risk of relapse in alcohol use disorder
490,150,psychiatric comorbidity (attention deficit hyperactivity disorder),is significantly associated with,increased risk of relapse in alcohol use disorder
491,151,comorbid depression,results in,higher relapse in Alcohol and substance use disorder
492,152,comorbid depression,increases,relapse in substance use disorders
493,153,addiction,has a well-established relationship with,temperament
494,154,addiction,has a well-established relationship with,character
495,155,neurotic personality,is associated with,higher relapse in alcohol dependence
496,156,risk taking tendency,is associated with,higher relapse in alcohol dependence
497,157,low mental resilience,is associated with,higher relapse in alcohol dependence
498,158,high neuroticism,is associated with,high relapse in substance abusers
499,159,low consequences,is associated with,high relapse in substance abusers
500,160,high emotional instability,is related to,relapse of heavy alcohol use
501,161,high emotional instability,is related to,relapse of heavy other drug use
502,162,behavioral disinhibition,is related to,relapse of heavy alcohol use
503,163,behavioral disinhibition,is related to,relapse of heavy other drug use
504,164,antisocial personality disorder,is prominent in relation to,relapse in substance use disorder
505,165,borderline personality disorder,is prominent in relation to,relapse in substance use disorder
506,166,antisocial personality disorder,increases risk of,relapse in alcohol dependence
507,167,higher disease severity,is associated with,higher relapse rates in Alcohol and substance use disorder
508,168,injecting drugs,is associated with,higher relapse rates in opioid use disorder
509,169,receiving higher doses of buprenorphine-naloxone,is associated with,higher relapse rates in opioid use disorder
510,170,cocaine addiction severity,increases,relapses
511,171,craving,is an important predictor of,relapses in alcohol dependence
512,172,craving,increases,relapses in substance use disorder
513,173,shorter duration of abstinence,is associated with,higher relapses in alcohol dependence
514,174,shorter substance-free periods,are associated with,higher relapse rates in opioid use disorder
515,175,emotion regulation skill,is important for,prevention of addiction
516,176,negative emotion,is associated with,greater risk of relapse in alcohol dependence
517,177,difficulties in emotion regulation,increase,relapse
518,178,positive emotions during methamphetamine use,increase,relapses in methamphetamine use disorder
519,179,negative emotions when not using methamphetamine,increase,relapses in methamphetamine use disorder
520,180,higher self-efficacy,is significantly associated with,lower risk of relapse in alcohol use disorder
521,181,low self-efficacy,is significantly associated with,higher relapse in opioid addiction
522,182,psychological resilience,is an essential factor in,substance use disorder
523,183,psychological resilience,decreases,relapses in substance use disorder
524,184,comorbid substance use disorder,significantly increases,relapses in alcohol dependence
525,185,concomitant polysubstance use,increases,relapses in opioid addiction
526,186,smoking,increases risk of,relapse in alcohol use disorder
527,187,smoking,increases risk of,relapse in substance use disorder
528,188,smoking,has no relationship with,relapse (few studies)
529,189,adverse life events,are strongly associated with,development of substance use disorder
530,190,lower coping skills,are strongly associated with,development of substance use disorder
531,191,adverse life events,are associated with,significantly higher relapse rates in alcohol dependence
532,192,trauma,is associated with,significantly higher relapse rates in alcohol dependence
533,193,stress,is associated with,significantly higher relapse rates in alcohol dependence
534,194,adverse childhood experiences,increase,relapses in opiate addicts under buprenorphine-naloxone treatment
535,195,traumatic experiences,are associated with,high relapse rates in Alcohol and substance use disorder
536,196,inadequate coping skills,increase,relapses in substance use disorder
537,197,inadequate coping skills,increase,relapses in alcohol dependence
538,198,neurocognitive deficits,are associated with,higher relapse rates in alcohol use disorder
539,199,impairments in learning processes,are associated with,higher relapse rates in heroin addiction
540,200,impairments in memory processes,are associated with,higher relapse rates in heroin addiction
541,201,executive dysfunction,is associated with,higher relapse rates in methamphetamine use disorder
542,202,impulsivity,increases,relapses in alcohol use disorder
543,203,impulsivity,increases,relapses
544,204,strong motivation to quit substance use,can decrease likelihood of,relapses in Alcohol and substance use disorder
545,205,setting treatment goals,decreases,relapse rates in alcohol use disorder
546,206,increasing motivation,decreases,relapse rates in alcohol use disorder
547,207,lower insight,is significantly linked to,higher risk of relapse
548,208,less help-seeking,is significantly linked to,higher risk of relapse
549,209,low motivation,is significantly linked to,higher risk of relapse
550,210,negative alcohol-related consequences,are significantly linked to,higher risk of relapse
551,211,lower positive outcome expectations,are significantly linked to,higher risk of relapse
552,212,disulfiram,is more successful than naltrexone in preventing,relapses in compliant and controlled patients with alcohol use disorder
553,213,disulfiram,is more successful than acamprosate in preventing,relapses in compliant and controlled patients with alcohol use disorder
554,214,naltrexone,has no difference compared to acamprosate in,reducing alcohol intake
555,215,ketamine infusion treatment,reduces,relapses in alcohol use disorder
556,216,intestinal microbiota modification by lactobacillus,reduces,relapses
557,217,intestinal microbiota modification by lactobacillus,reduces,heavy drinking
558,218,N-acetylcysteine acetylsalicylic acid treatment,reduces,relapses
559,219,N-acetylcysteine acetylsalicylic acid treatment,reduces,heavy drinking
560,220,methadone,decreases risk of relapse in,opioid addiction
561,221,buprenorphine,decreases risk of relapse in,opioid addiction
562,222,methadone,is more effective than buprenorphine for,treating opioid addiction
563,223,buprenorphine,is slightly less effective than methadone in preventing,relapse in opioid addiction
564,224,buprenorphine,has,lower potential for abuse
565,225,extended-release naltrexone,has equal safety and efficacy as buprenorphine–naloxone combination therapy in preventing,opioid relapses
566,226,buprenorphine–naloxone combination therapy,has equal safety and efficacy as extended-release naltrexone in preventing,opioid relapses
567,227,various pharmaceutical agents,have inadequate evidence for preventing,cannabis relapse
568,228,preparations containing tetrahydrocannabinol,can enhance,treatment completion rates
569,229,bupropion,has insufficient results to support utilization in,cannabis relapse treatment
570,230,selective serotonin reuptake inhibitors,have insufficient results to support utilization in,cannabis relapse treatment
571,231,mood stabilizers,have insufficient results to support utilization in,cannabis relapse treatment
572,232,anticonvulsants,have insufficient results to support utilization in,cannabis relapse treatment
573,233,gabapentin,has insufficient results to support utilization in,cannabis relapse treatment
574,234,N-acetylcysteine,has insufficient results to support utilization in,cannabis relapse treatment
575,235,psychostimulants,have not shown clear effect on,relapse for methamphetamine use disorder
576,236,antidepressants,have not shown clear effect on,relapse for methamphetamine use disorder
577,237,antipsychotics,have not shown clear effect on,relapse for methamphetamine use disorder
578,238,acamprosate,has not shown clear effect on,relapse for methamphetamine use disorder
579,239,naltrexone,has not shown clear effect on,relapse for methamphetamine use disorder
580,240,topiramate,has not shown clear effect on,relapse for methamphetamine use disorder
581,241,baclofen,has not shown clear effect on,relapse for methamphetamine use disorder
582,242,gabapentin,has not shown clear effect on,relapse for methamphetamine use disorder
583,243,N-acetylcysteine,has not shown clear effect on,relapse for methamphetamine use disorder
584,244,oxazepam,has not shown clear effect on,relapse for methamphetamine use disorder
585,245,atomoxetine,has not shown clear effect on,relapse for methamphetamine use disorder
586,246,oxytocin,has not shown clear effect on,relapse for methamphetamine use disorder
587,247,combination of extended-release injectable naltrexone and daily oral extended-release bupropion,shows better response than placebo for,relapses in moderate to severe methamphetamine use disorder
588,248,mindfulness-based intervention,may reduce,relapses in substance use disorder (some studies)
589,249,mindfulness-based intervention,has no significant effect on,relapse in substance use disorder (meta-analysis)
590,250,12-step treatment,is slightly more effective than cognitive therapy for,substance withdrawal
591,251,12-step treatment,is similarly effective as cognitive therapy for,patient functioning
592,252,12-step treatment,is similarly effective as cognitive therapy for,frequency of substance use
593,253,contingency management,reduced,substance use in the first 3 months
594,254,motivational interviewing,reduced,substance use in 3-6 months
595,255,psychoeducation for Alcohol and substance use disorder,reduced,stress
596,256,psychoeducation for Alcohol and substance use disorder,increased,self-efficacy
597,257,psychoeducation for Alcohol and substance use disorder,reduced,relapse
598,258,music intervention for Alcohol and substance use disorder,reduced,stress
599,259,music intervention for Alcohol and substance use disorder,increased,self-efficacy
600,260,music intervention for Alcohol and substance use disorder,reduced,relapse
601,261,social factors,are associated with,reduced relapse risk
602,262,quality of social support,is associated with,reduced relapse risk
603,263,favorable social context,is associated with,reduced relapse risk
604,264,favorable social functioning,is associated with,reduced relapse risk
605,265,employment,is associated with,reduced relapse risk
606,266,higher socioeconomic status,is associated with,reduced relapse risk
607,267,education,is associated with,reduced relapse risk
608,268,living in a poor neighborhood,increased,relapses in alcohol addicts
609,269,having drinkers in the social network,increased,relapses in alcohol addicts
610,270,participation in Alcoholics Anonymous,decreased,relapses in alcohol addicts
611,271,being single,increases,relapses in substance addiction
612,272,positive attitudes towards the substance,increase,relapses in substance addiction
613,273,family conflicts,increase,relapses in substance addiction
614,274,weak social support,increases,relapses in substance addiction
615,275,easy access to the substance,increases,relapses in substance addiction
616,276,having addicts in the family,increases,relapses in substance addiction
617,277,having addicts in close friends,increases,relapses in substance addiction
618,278,positive family functioning in substance use disorder,prevents,relapses
619,279,positive family functioning in substance use disorder,increases,self-esteem in individuals
620,280,positive family functioning in substance use disorder,increases,resilience in individuals
621,281,positive family functioning in substance use disorder,is associated with,higher relapse rates in close relatives of patients with Alcohol and substance use disorder
622,282,homelessness,increases,relapses in cocaine use disorder
623,283,homelessness,increases,relapses in methamphetamine use disorder
624,284,unemployment,increases,relapses in cocaine use disorder
625,285,unemployment,increases,relapses in methamphetamine use disorder
626,286,low family income,increases,relapses in cocaine use disorder
627,287,low family income,increases,relapses in methamphetamine use disorder
628,288,lack of social support,increases,relapses in cocaine use disorder
629,289,lack of social support,increases,relapses in methamphetamine use disorder
630,290,poor living conditions,increase,relapses in cocaine use disorder
631,291,poor living conditions,increase,relapses in methamphetamine use disorder
632,292,poor family conditions,increase,relapses in cocaine use disorder
633,293,poor family conditions,increase,relapses in methamphetamine use disorder
634,294,long-term substance use in the past,increased,relapses during methadone treatment for opioid use disorder
635,295,living in mountainous regions,increased,relapses during methadone treatment for opioid use disorder
636,296,living with many family members,decreased,relapses during methadone treatment for opioid use disorder
637,297,long treatment duration,decreased,relapses during methadone treatment for opioid use disorder
638,298,full compliance with treatment,decreased,relapses during methadone treatment for opioid use disorder
639,299,probation,reduces,relapse in Alcohol and substance use disorder
640,300,employment,reduces,relapse in Alcohol and substance use disorder
641,301,legal responsibility,can reduce,substance relapses
642,0,Relapse Prevention,has main idea,relapse is a gradual process with distinct stages
643,1,Relapse Prevention,has main idea,recovery is a process of personal growth with developmental milestones
644,2,Relapse Prevention,uses main tools,cognitive behavioral therapy
645,3,Relapse Prevention,uses main tools,mind-body relaxation
646,4,Relapse Prevention,has main idea,most relapses can be explained by a few basic rules
647,5,Relapse,is a,gradual process
648,6,Relapse,has,distinct stages
649,7,Treatment,aims to help individuals recognize,early stages of relapse
650,8,Early stages of relapse,offer,greatest chances of success for prevention
651,9,Recovery,is a,process of personal growth
652,10,Recovery,involves,developmental milestones
653,11,Each stage of recovery,has,risks of relapse
654,12,Cognitive behavioral therapy,is used to develop,healthy coping skills
655,13,Mind-body relaxation,is used to develop,healthy coping skills
656,14,Cognitive behavioral therapy,changes,negative thinking
657,15,Mind-body relaxation,changes,negative thinking
658,16,The Five Rules of Recovery,are,change your life
659,17,The Five Rules of Recovery,are,be completely honest
660,18,The Five Rules of Recovery,are,ask for help
661,19,The Five Rules of Recovery,are,practice self-care
662,20,The Five Rules of Recovery,are,do not bend the rules
663,21,Most people,seek treatment for,relapse prevention
664,22,Relapse prevention,approach works well in,individual therapy
665,23,Relapse prevention,approach works well in,group therapy
666,24,Relapse prevention,requires understanding that,relapse happens gradually
667,25,Relapse,begins,weeks or months before substance use
668,26,Treatment,aims to help individuals develop,coping skills to prevent relapse
669,27,Early relapse prevention,reduces,risk of relapse
670,28,Relapse,has three stages,emotional relapse
671,29,Relapse,has three stages,mental relapse
672,30,Relapse,has three stages,physical relapse
673,31,Emotional relapse,is a stage where,individuals are not thinking about using substances
674,32,Emotions and behaviors during emotional relapse,lead to,future relapse
675,33,Denial,is a significant part of,emotional relapse
676,34,Bottling up emotions,is a sign of,emotional relapse
677,35,Isolating,is a sign of,emotional relapse
678,36,Not attending meetings,is a sign of,emotional relapse
679,37,Attending meetings but not sharing,is a sign of,emotional relapse
680,38,Focusing on other people's problems,is a sign of,emotional relapse
681,39,Focusing on how other people affect oneself,is a sign of,emotional relapse
682,40,Poor eating habits,are a sign of,emotional relapse
683,41,Poor sleeping habits,are a sign of,emotional relapse
684,42,Emotional relapse,is characterized by,poor self-care
685,43,Self-care,includes,emotional care
686,44,Self-care,includes,psychological care
687,45,Self-care,includes,physical care
688,46,Therapy during emotional relapse,aims to help clients understand,meaning of self-care
689,47,Therapy during emotional relapse,aims to help clients understand,importance of self-care
690,48,Need for self-care,varies by,individual
691,49,HALT (acronym),is a reminder of,poor self-care
692,50,HALT (acronym),stands for,hungry
693,51,HALT (acronym),stands for,angry
694,52,HALT (acronym),stands for,lonely
695,53,HALT (acronym),stands for,tired
696,54,Physical self-care,includes,sleep
697,55,Physical self-care,includes,hygiene
698,56,Physical self-care,includes,healthy diet
699,57,Self-care for most individuals,is primarily,emotional self-care
700,58,Clients,need to make time for,themselves for self-care
701,59,Clients,need to be kind to,themselves for self-care
702,60,Clients,need to give permission to themselves to,have fun for self-care
703,61,Therapy during emotional relapse,aims to help clients identify,denial
704,62,Transition from emotional relapse to mental relapse,is a consequence of,prolonged poor self-care
705,63,Prolonged poor self-care and emotional relapse,lead to,feeling uncomfortable in one's own skin
706,64,"Feeling uncomfortable (restless, irritable, discontent)",leads to,thinking about using substances for escape
707,65,Mental relapse,involves,internal conflict about substance use
708,66,Deepening mental relapse,diminishes,cognitive resistance to relapse
709,67,Deepening mental relapse,increases,need for escape
710,68,Craving for substances,is a sign of,mental relapse
711,69,Thinking about people associated with past substance use,is a sign of,mental relapse
712,70,Thinking about places associated with past substance use,is a sign of,mental relapse
713,71,Thinking about things associated with past substance use,is a sign of,mental relapse
714,72,Minimizing consequences of past substance use,is a sign of,mental relapse
715,73,Glamorizing past substance use,is a sign of,mental relapse
716,74,Bargaining about substance use,is a sign of,mental relapse
717,75,Lying about substance use,is a sign of,mental relapse
718,76,Thinking of schemes to control substance use,is a sign of,mental relapse
719,77,Looking for relapse opportunities,is a sign of,mental relapse
720,78,Planning a relapse,is a sign of,mental relapse
721,79,Therapy,has important goal,helping clients avoid high-risk situations
722,80,Avoiding high-risk situations,is sometimes perceived as,weakness
723,81,Bargaining (mental relapse),involves,thinking of acceptable scenarios for substance use
724,82,Using substances on holidays,is an example of,bargaining (mental relapse)
725,83,Using substances on a trip,is an example of,bargaining (mental relapse)
726,84,Airports,are,high-risk environments in early recovery
727,85,All-inclusive resorts,are,high-risk environments in early recovery
728,86,Thinking of controlled periodic relapse,is a form of,bargaining (mental relapse)
729,87,Switching addictive substances,is a form of,bargaining (mental relapse)
730,88,Occasional brief thoughts of using substances,are,normal in early recovery
731,89,Occasional brief thoughts of using substances,are distinct from,mental relapse
732,90,Occasional thoughts of using substances,need to be,normalized in therapy
733,91,Addiction experience,results in,unerasable memory
734,92,Good coping skills,enable,letting go of thoughts of using substances quickly
735,93,Clinicians,distinguish mental relapse from occasional thoughts of using by,monitoring client behavior longitudinally
736,94,Thoughts of using substances changing in character,are warning signs of,mental relapse
737,95,Thoughts of using substances becoming more insistent,are warning signs of,mental relapse
738,96,Thoughts of using substances increasing in frequency,are warning signs of,mental relapse
739,97,Physical relapse,is defined as,an individual starting substance use again
740,98,Lapse,is,initial drink or drug use
741,99,Relapse after a lapse,is,return to uncontrolled substance use
742,100,One drink or one drug use (lapse),may lead to,uncontrolled substance use relapse
743,101,One drink or one drug use (lapse),usually leads to,mental relapse (obsessive thinking about using)
744,102,Mental relapse (obsessive thinking about using),can lead to,physical relapse
745,103,Most physical relapses,are,relapses of opportunity
746,104,Relapses of opportunity,occur when,a person feels they will not get caught
747,105,Relapse prevention,involves,rehearsing high-risk situations
748,106,Relapse prevention,involves,developing healthy exit strategies
749,107,Saying no just before using substances,is the,final and most difficult stage to stop relapse
750,108,Prolonged mental relapse without coping skills,increases likelihood of,turning to drugs or alcohol for escape
751,109,Cognitive behavioral therapy,is a main tool for,changing negative thinking
752,110,Cognitive behavioral therapy,is a main tool for,developing healthy coping skills
753,111,Cognitive behavioral therapy,is effective in,relapse prevention
754,112,Blaming others for one's problem,is a type of,negative thinking (obstacle to recovery)
755,113,Believing inability to handle life without substance use,is a type of,negative thinking (obstacle to recovery)
756,114,Believing in occasional substance use,is a type of,negative thinking (obstacle to recovery)
757,115,Believing life will not be fun without substance use,is a type of,negative thinking (obstacle to recovery)
758,116,Worrying about becoming an undesirable person,is a type of,negative thinking (obstacle to recovery)
759,117,Believing inability to make necessary changes,is a type of,negative thinking (obstacle to recovery)
760,118,Believing inability to change friends,is a type of,negative thinking (obstacle to recovery)
761,119,Not wanting to abandon family,is a type of,negative thinking (obstacle to recovery)
762,120,Believing recovery is too much work,is a type of,negative thinking (obstacle to recovery)
763,121,Believing cravings will be overwhelming,is a type of,negative thinking (obstacle to recovery)
764,122,Believing inability to resist cravings,is a type of,negative thinking (obstacle to recovery)
765,123,Believing relapse is inevitable after stopping,is a type of,negative thinking (obstacle to recovery)
766,124,Believing inability to finish anything,is a type of,negative thinking (obstacle to recovery)
767,125,Believing relapse can be kept secret,is a type of,negative thinking (obstacle to recovery)
768,126,Worrying about permanent damage from addiction,is a type of,negative thinking (obstacle to recovery)
769,127,Addictive thinking,is underpinned by,all-or-nothing thinking
770,128,Addictive thinking,is underpinned by,disqualifying the positives
771,129,Addictive thinking,is underpinned by,catastrophizing
772,130,Addictive thinking,is underpinned by,negative self-labeling
773,131,Negative thinking patterns,can lead to,anxiety
774,132,Negative thinking patterns,can lead to,resentments
775,133,Negative thinking patterns,can lead to,stress
776,134,Negative thinking patterns,can lead to,depression
777,135,Anxiety,can lead to,relapse
778,136,Resentments,can lead to,relapse
779,137,Stress,can lead to,relapse
780,138,Depression,can lead to,relapse
781,139,Cognitive behavioral therapy,helps break,old habits
782,140,Mind-body relaxation,helps break,old habits
783,141,Cognitive behavioral therapy,helps retrain,neural circuits for healthier thinking
784,142,Mind-body relaxation,helps retrain,neural circuits for healthier thinking
785,143,Fear,is a common,negative thinking pattern in addiction
786,144,Fear of not measuring up,is a type of,fearful thinking
787,145,Fear of being judged,is a type of,fearful thinking
788,146,Fear of feeling like a fraud and being discovered,is a type of,fearful thinking
789,147,Fear of not knowing how to live without drugs or alcohol,is a type of,fearful thinking
790,148,Fear of success,is a type of,fearful thinking
791,149,Fear of relapse,is a type of,fearful thinking
792,150,Inability to recover,is a basic,fear in recovery
793,151,Recovery,is falsely believed to require,special strength or willpower
794,152,Past relapses,are sometimes interpreted as,proof of inability to recover
795,153,Cognitive behavioral therapy,teaches that recovery is based on,coping skills
796,154,Cognitive behavioral therapy,teaches that recovery is not based on,willpower
797,155,Therapy,has important task,helping individuals redefine fun
798,156,Stress,leads clients to,glamorize past substance use
799,157,Clients under stress,think,recovery is hard work
800,158,Clients under stress,think,addiction was fun
801,159,Clients under stress,tend to,disqualify positives gained through recovery
802,160,Cognitive challenge in therapy,involves acknowledging,recovery is sometimes hard work but addiction is harder
803,161,Referring to past substance use as 'fun',leads to,downplaying negative consequences of addiction
804,162,Expectancy theory,demonstrates,expectations influence experience of fun
805,163,Early stages of substance abuse,involves,mostly positive experience for predisposed individuals
806,164,Individuals later in addiction,expect substance use to be,"positive, despite negative experiences"
807,165,Individuals,expect not using substances to lead to,emotional pain
808,166,Individuals,expect not using substances to lead to,boredom
809,167,Cognitive behavioral therapy,addresses,misconceptions about fun in substance use and abstinence
810,168,How individuals deal with setbacks,plays a major role in,recovery
811,169,Setback,is,behavior moving an individual closer to physical relapse
812,170,Not setting healthy boundaries,is an example of,setback
813,171,Not asking for help,is an example of,setback
814,172,Not avoiding high-risk situations,is an example of,setback
815,173,Not practicing self-care,is an example of,setback
816,174,Setbacks,are worthy of discussion in therapy,even if they do not end in relapse
817,175,Recovering individuals,tend to see setbacks as,failures
818,176,Recovering individuals,see setbacks as failures because of,being unusually hard on themselves
819,177,Setbacks,can create,vicious cycle of negative self-perception
820,178,Feeling unable to live life on life's terms due to setbacks,can lead to,increased substance use
821,179,Feeling unable to live life on life's terms due to setbacks,can lead to,greater sense of failure
822,180,Setbacks,can lead to,stopping focus on progress
823,181,Setbacks,can lead to,perceiving recovery as overwhelming
824,182,Setbacks,are a normal part of,progress
825,183,Setbacks,are not,failures
826,184,Setbacks,are caused by,insufficient coping skills
827,185,Setbacks,are caused by,inadequate planning
828,186,Insufficient coping skills,can be,fixed
829,187,Inadequate planning,can be,fixed
830,188,Clients,are encouraged to challenge thinking by,looking at past successes
831,189,Clients,are encouraged to challenge thinking by,acknowledging strengths in recovery
832,190,All-or-nothing view of recovery,increases likelihood of,feeling overwhelmed
833,191,All-or-nothing view of recovery,increases likelihood of,abandoning long-term goals for short-term relief
834,192,Abandoning long-term goals for short-term relief due to all-or-nothing thinking about recovery,is termed,Abstinence Violation Effect
835,193,Recovering individuals,need to learn,to feel comfortable with being uncomfortable
836,194,Recovering individuals,often assume non-addicts do not experience,same problems
837,195,Recovering individuals,often assume non-addicts do not experience,same negative emotions
838,196,Assumption that non-addicts do not have problems,leads to feeling it is necessary to,escape negative feelings for recovering individuals
839,197,Cognitive challenge,is to show that negative feelings are not,signs of failure
840,198,Cognitive challenge,is to show that negative feelings are a,normal part of life
841,199,Cognitive challenge,is to show that negative feelings are,opportunities for growth
842,200,Helping clients feel comfortable with being uncomfortable,can reduce,need to escape into addiction
843,201,Recovery,is a,process of personal growth
844,202,Each stage of recovery,has,its own risks of relapse
845,203,Each stage of recovery,has,its own developmental tasks to reach the next stage
846,204,Stages of recovery,are not,same length for each person
847,205,Stages of recovery,are a useful way of,looking at recovery
848,206,Stages of recovery,are a useful way of,teaching recovery to clients
849,207,Recovery,has three stages,abstinence stage
850,208,Recovery,has three stages,repair stage
851,209,Recovery,has three stages,growth stage
852,210,Abstinence stage,starts,immediately after stopping substance use
853,211,Abstinence stage,usually lasts,1 to 2 years
854,212,Abstinence stage,main focus is,dealing with cravings
855,213,Abstinence stage,main focus is,not using substances
856,214,Accepting one has an addiction,is a task of,abstinence stage
857,215,Practicing honesty in life,is a task of,abstinence stage
858,216,Developing coping skills for cravings,is a task of,abstinence stage
859,217,Becoming active in self-help groups,is a task of,abstinence stage
860,218,Practicing self-care,is a task of,abstinence stage
861,219,Practicing saying no,is a task of,abstinence stage
862,220,Understanding the stages of relapse,is a task of,abstinence stage
863,221,Getting rid of friends who are using substances,is a task of,abstinence stage
864,222,Understanding the dangers of cross addiction,is a task of,abstinence stage
865,223,Dealing with Post-Acute Withdrawal Syndrome,is a task of,abstinence stage
866,224,Developing healthy alternatives to substance use,is a task of,abstinence stage
867,225,Seeing oneself as a non-user,is a task of,abstinence stage
868,226,Physical cravings,are a risk to recovery in,abstinence stage
869,227,Poor self-care,is a risk to recovery in,abstinence stage
870,228,Wanting to use substances just one more time,is a risk to recovery in,abstinence stage
871,229,Struggling with acknowledging addiction,is a risk to recovery in,abstinence stage
872,230,Big external changes in early recovery,should be avoided during,first year of recovery
873,231,Tasks of abstinence stage,can be summarized as,improved physical self-care
874,232,Tasks of abstinence stage,can be summarized as,improved emotional self-care
